2024-04-06 11:51:30.265 | WARN  | background-preinit | o.s.h.c.j.Jackson2ObjectMapperBuilder >>>>> For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2024-04-06 11:52:18.955 | WARN  | restartedMain | o.m.s.m.ClassPathMapperScanner >>>>> No MyBatis mapper was found in '[com.example.backend.mapper]' package. Please check your configuration.
2024-04-06 11:52:18.966 | WARN  | restartedMain | o.m.s.m.ClassPathMapperScanner >>>>> No MyBatis mapper was found in '[com.example.backend]' package. Please check your configuration.
2024-04-06 12:06:28.076 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: Failed to parse configuration class [com.example.backend.BackEndApplication]; nested exception is org.springframework.context.annotation.ConflictingBeanDefinitionException: Annotation-specified bean name 'user' for bean class [com.example.backend.controller.Authentication.LogoutController] conflicts with existing, non-compatible bean definition of same name and class [com.example.backend.controller.Authentication.LoginController]
2024-04-06 12:08:08.098 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'user': Unsatisfied dependency expressed through method 'logout' parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.example.backend.domain.user.User' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.web.bind.annotation.RequestBody(required=true)}
2024-04-06 12:08:09.667 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'user': Unsatisfied dependency expressed through method 'logout' parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.example.backend.domain.user.User' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.web.bind.annotation.RequestBody(required=true)}
2024-04-06 12:08:25.314 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logoutController': Unsatisfied dependency expressed through method 'logout' parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.example.backend.domain.user.User' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.web.bind.annotation.RequestBody(required=true)}
2024-04-06 12:11:26.854 | WARN  | background-preinit | o.s.h.c.j.Jackson2ObjectMapperBuilder >>>>> For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2024-04-06 12:11:27.645 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'logoutController': Unsatisfied dependency expressed through method 'logout' parameter 0; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.example.backend.domain.user.User' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.web.bind.annotation.RequestBody(required=true)}
2024-04-06 12:11:45.643 | WARN  | background-preinit | o.s.h.c.j.Jackson2ObjectMapperBuilder >>>>> For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2024-04-06 12:33:09.557 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Unable to start web server; nested exception is org.springframework.boot.web.server.WebServerException: Unable to start embedded Tomcat
2024-04-06 14:46:39.915 | WARN  | background-preinit | o.s.h.c.j.Jackson2ObjectMapperBuilder >>>>> For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2024-04-06 14:50:11.186 | WARN  | http-nio-8080-exec-10 | o.s.w.s.m.s.DefaultHandlerExceptionResolver >>>>> Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.example.backend.domain.ResponseResult com.example.backend.controller.Authentication.LogoutController.logout(com.example.backend.domain.user.User,javax.servlet.http.HttpServletRequest)]
2024-04-06 14:51:52.486 | WARN  | background-preinit | o.s.h.c.j.Jackson2ObjectMapperBuilder >>>>> For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2024-04-06 14:52:40.603 | WARN  | http-nio-8080-exec-1 | o.s.w.s.m.s.DefaultHandlerExceptionResolver >>>>> Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.example.backend.domain.ResponseResult com.example.backend.controller.Authentication.LogoutController.logout(com.example.backend.domain.user.User,javax.servlet.http.HttpServletRequest)]
